Entry	Entry name
Q6KEH9	Q6KEH9_HUMAN
Q6KEI2	Q6KEI2_HUMAN
Q6KEI7	Q6KEI7_HUMAN
Q6KEI8	Q6KEI8_HUMAN
Q6KEJ1	Q6KEJ1_HUMAN
Q6KEJ4	Q6KEJ4_HUMAN
Q6KEJ7	Q6KEJ7_HUMAN
Q99989	Q99989_HUMAN
Q9NP06	Q9NP06_HUMAN
Q9NP07	Q9NP07_HUMAN
Q9UJ19	Q9UJ19_HUMAN
Q9UML7	Q9UML7_HUMAN
Q9UML8	Q9UML8_HUMAN
Q9UMN4	Q9UMN4_HUMAN
A0A024R433	A0A024R433_HUMAN
C9JXX4	C9JXX4_HUMAN
P24593	IBP5_HUMAN
Q8WV97	Q8WV97_HUMAN
Q96HT5	Q96HT5_HUMAN
P80365	DHI2_HUMAN
R4GN04	R4GN04_HUMAN
E9PK85	E9PK85_HUMAN
E9PQ87	E9PQ87_HUMAN
E9PQC5	E9PQC5_HUMAN
E9PQK5	E9PQK5_HUMAN
P62070	RRAS2_HUMAN
A0A087WYX9	A0A087WYX9_HUMAN
D3DPH5	D3DPH5_HUMAN
P05997	CO5A2_HUMAN
Q5PR22	Q5PR22_HUMAN
B3KUB4	B3KUB4_HUMAN
O43570	CAH12_HUMAN
Q9NXM9	Q9NXM9_HUMAN
B8ZZL1	B8ZZL1_HUMAN
H0Y6R1	H0Y6R1_HUMAN
H7BZV7	H7BZV7_HUMAN
Q9UBP9	GULP1_HUMAN
M0QX61	M0QX61_HUMAN
P11912	CD79A_HUMAN
D6RA82	D6RA82_HUMAN
D6RAZ8	D6RAZ8_HUMAN
D6RCA8	D6RCA8_HUMAN
D6RFG5	D6RFG5_HUMAN
D6RFJ9	D6RFJ9_HUMAN
P12429	ANXA3_HUMAN
E9PMT1	E9PMT1_HUMAN
H0YD34	H0YD34_HUMAN
P49662	CASP4_HUMAN
A0A024RDT4	A0A024RDT4_HUMAN
P13796	PLSL_HUMAN
Q5TBN3	Q5TBN3_HUMAN
Q5TBN5	Q5TBN5_HUMAN
H0YD14	H0YD14_HUMAN
Q9NZM1	MYOF_HUMAN
P20023	CR2_HUMAN
Q08578	Q08578_HUMAN
Q5SR47	Q5SR47_HUMAN
E5RID5	E5RID5_HUMAN
E5RK37	E5RK37_HUMAN
P00918	CAH2_HUMAN
A0A024R3U6	A0A024R3U6_HUMAN
C9JR56	C9JR56_HUMAN
F8WCV6	F8WCV6_HUMAN
Q9UPW6	SATB2_HUMAN
B8YG18	B8YG18_HUMAN
D6RCR9	D6RCR9_HUMAN
D6RDM4	D6RDM4_HUMAN
D6RG28	D6RG28_HUMAN
D6RGV2	D6RGV2_HUMAN
F6IQ79	F6IQ79_HUMAN
F6IQ80	F6IQ80_HUMAN
H0YA41	H0YA41_HUMAN
P16871	IL7RA_HUMAN
P09067	HXB5_HUMAN
D6RA91	D6RA91_HUMAN
F6W5V1	F6W5V1_HUMAN
A0A1B0GTQ8	A0A1B0GTQ8_HUMAN
A0A1B0GUL4	A0A1B0GUL4_HUMAN
D6RBT2	D6RBT2_HUMAN
Q6ZV65	FA47E_HUMAN
U3KQR7	U3KQR7_HUMAN
O95210	STBD1_HUMAN
D3DQX7	D3DQX7_HUMAN
E9PQD6	E9PQD6_HUMAN
P0DJI8	SAA1_HUMAN
A0A087WTM9	A0A087WTM9_HUMAN
E6Y7C3	E6Y7C3_HUMAN
E6Y7C4	E6Y7C4_HUMAN
F0UWG7	F0UWG7_HUMAN
H7C5Z8	H7C5Z8_HUMAN
P25445	TNR6_HUMAN
P49327	FAS_HUMAN
Q9UET8	Q9UET8_HUMAN
S5PSV7	S5PSV7_HUMAN
S5PZ57	S5PZ57_HUMAN
D3DND1	D3DND1_HUMAN
D6R973	D6R973_HUMAN
D6R9V8	D6R9V8_HUMAN
D6RAV0	D6RAV0_HUMAN
D6RDN0	D6RDN0_HUMAN
D6RFH2	D6RFH2_HUMAN
H0Y8K3	H0Y8K3_HUMAN
Q9UKY7	CDV3_HUMAN
A0A024R507	A0A024R507_HUMAN
E9PKH8	E9PKH8_HUMAN
E9PPL6	E9PPL6_HUMAN
P11836	CD20_HUMAN
P51884	LUM_HUMAN
A6NG45	A6NG45_HUMAN
A6NJJ0	A6NJJ0_HUMAN
H7C3T4	H7C3T4_HUMAN
Q13162	PRDX4_HUMAN
V9HW63	V9HW63_HUMAN
A6PVX1	A6PVX1_HUMAN
C9JVL0	C9JVL0_HUMAN
F2Z2W8	F2Z2W8_HUMAN
F8WBA9	F8WBA9_HUMAN
F8WCR4	F8WCR4_HUMAN
H0Y532	H0Y532_HUMAN
Q13228	SBP1_HUMAN
Q9H8A8	Q9H8A8_HUMAN
Q53EL6	PDCD4_HUMAN
Q5VZS7	Q5VZS7_HUMAN
A0A0F7NGI8	A0A0F7NGI8_HUMAN
C9JTC6	C9JTC6_HUMAN
Q05D04	Q05D04_HUMAN
Q32MZ4	LRRF1_HUMAN
Q9BSL6	Q9BSL6_HUMAN
A0A075B788	A0A075B788_HUMAN
A0A0A0MT22	A0A0A0MT22_HUMAN
A0A0G2JNW2	A0A0G2JNW2_HUMAN
A0A0G2JPD1	A0A0G2JPD1_HUMAN
A0A140TA57	A0A140TA57_HUMAN
A0A140TA59	A0A140TA59_HUMAN
A0A140TA68	A0A140TA68_HUMAN
A0A140TA77	A0A140TA77_HUMAN
A0A140TA79	A0A140TA79_HUMAN
E9PKH0	E9PKH0_HUMAN
M3ZCP1	M3ZCP1_HUMAN
M9MMK8	M9MMK8_HUMAN
M9MMK9	M9MMK9_HUMAN
M9MML3	M9MML3_HUMAN
M9MML4	M9MML4_HUMAN
P08575	PTPRC_HUMAN
Q0VAE8	Q0VAE8_HUMAN
Q6LDN6	Q6LDN6_HUMAN
Q6PJK7	Q6PJK7_HUMAN
Q6Q1P2	Q6Q1P2_HUMAN
Q6QIM3	Q6QIM3_HUMAN
Q6QIN1	Q6QIN1_HUMAN
Q6QIN9	Q6QIN9_HUMAN
Q6QIQ5	Q6QIQ5_HUMAN
Q6QIR3	Q6QIR3_HUMAN
Q9H3X6	Q9H3X6_HUMAN
X6R433	X6R433_HUMAN
A0A0B4J259	A0A0B4J259_HUMAN
B2R4C5	B2R4C5_HUMAN
F8VV32	F8VV32_HUMAN
P61626	LYSC_HUMAN
B4E3T4	B4E3T4_HUMAN
E5RFP4	E5RFP4_HUMAN
E5RJ31	E5RJ31_HUMAN
E5RJD7	E5RJD7_HUMAN
H0YBU9	H0YBU9_HUMAN
H0YC46	H0YC46_HUMAN
Q569H2	Q569H2_HUMAN
Q93062	RBPMS_HUMAN
H0YCJ5	H0YCJ5_HUMAN
L8E7L9	L8E7L9_HUMAN
Q13489	BIRC3_HUMAN
H0YJZ6	H0YJZ6_HUMAN
Q5D0K5	Q5D0K5_HUMAN
Q9UPY3	DICER_HUMAN
P27469	G0S2_HUMAN
J3KS40	J3KS40_HUMAN
J3KSN0	J3KSN0_HUMAN
J3KTR4	J3KTR4_HUMAN
J3QKK2	J3QKK2_HUMAN
J3QQU6	J3QQU6_HUMAN
J3QR99	J3QR99_HUMAN
J3QRU5	J3QRU5_HUMAN
Q8WVN6	SCTM1_HUMAN
A0A0S2Z4K6	A0A0S2Z4K6_HUMAN
A0A0S2Z4Q2	A0A0S2Z4Q2_HUMAN
C7FFS5	C7FFS5_HUMAN
D6RBX4	D6RBX4_HUMAN
H0Y8L3	H0Y8L3_HUMAN
H0Y8M8	H0Y8M8_HUMAN
H0Y9D7	H0Y9D7_HUMAN
H0YAB8	H0YAB8_HUMAN
H0YAH8	H0YAH8_HUMAN
Q15582	BGH3_HUMAN
S4R3C6	S4R3C6_HUMAN
A0A024R499	A0A024R499_HUMAN
P35568	IRS1_HUMAN
W0KMC7	W0KMC7_HUMAN
W0KR29	W0KR29_HUMAN
W0KRH6	W0KRH6_HUMAN
A0A024R884	A0A024R884_HUMAN
A0A0U1RR80	A0A0U1RR80_HUMAN
A7MBN2	A7MBN2_HUMAN
A9YUB8	A9YUB8_HUMAN
E9PC84	E9PC84_HUMAN
F5H5D6	F5H5D6_HUMAN
F5H7V9	F5H7V9_HUMAN
H0YGZ3	H0YGZ3_HUMAN
J3QSU6	J3QSU6_HUMAN
P24821	TENA_HUMAN
H0YCE1	H0YCE1_HUMAN
H0YL56	H0YL56_HUMAN
Q8WUJ3	CEMIP_HUMAN
A0A024QZ95	A0A024QZ95_HUMAN
Q6UX06	OLFM4_HUMAN
A0A024R5Z7	A0A024R5Z7_HUMAN
H0YKL9	H0YKL9_HUMAN
H0YKN4	H0YKN4_HUMAN
H0YKS4	H0YKS4_HUMAN
H0YKV8	H0YKV8_HUMAN
H0YKX9	H0YKX9_HUMAN
H0YKZ7	H0YKZ7_HUMAN
H0YL33	H0YL33_HUMAN
H0YLE2	H0YLE2_HUMAN
H0YLV6	H0YLV6_HUMAN
H0YM50	H0YM50_HUMAN
H0YMD0	H0YMD0_HUMAN
H0YMD9	H0YMD9_HUMAN
H0YMM1	H0YMM1_HUMAN
H0YMT9	H0YMT9_HUMAN
H0YMU9	H0YMU9_HUMAN
H0YMW4	H0YMW4_HUMAN
H0YN28	H0YN28_HUMAN
H0YN42	H0YN42_HUMAN
H0YN52	H0YN52_HUMAN
H0YNA0	H0YNA0_HUMAN
H0YNB8	H0YNB8_HUMAN
H0YNP5	H0YNP5_HUMAN
P07355	ANXA2_HUMAN
P14780	MMP9_HUMAN
A0A024QZM9	A0A024QZM9_HUMAN
E7ET40	E7ET40_HUMAN
P00749	UROK_HUMAN
Q9UEJ5	Q9UEJ5_HUMAN
S4R3G7	S4R3G7_HUMAN
Q14802	FXYD3_HUMAN
S4R3M2	S4R3M2_HUMAN
S4R445	S4R445_HUMAN
A0A0C4DFS8	A0A0C4DFS8_HUMAN
C9JF35	C9JF35_HUMAN
C9JG65	C9JG65_HUMAN
P43490	NAMPT_HUMAN
C9J4T6	C9J4T6_HUMAN
P10145	IL8_HUMAN
P49019	HCAR3_HUMAN
K7EJZ3	K7EJZ3_HUMAN
K7EPD9	K7EPD9_HUMAN
P48546	GIPR_HUMAN
Q4VBP1	Q4VBP1_HUMAN
D6RF92	D6RF92_HUMAN
P80162	CXCL6_HUMAN
A1L471	A1L471_HUMAN
A4D1D2	A4D1D2_HUMAN
A8E2S6	A8E2S6_HUMAN
B5U2G4	B5U2G4_HUMAN
E7EWT8	E7EWT8_HUMAN
F4ZUQ5	F4ZUQ5_HUMAN
F4ZUT2	F4ZUT2_HUMAN
F4ZUV0	F4ZUV0_HUMAN
F4ZUV4	F4ZUV4_HUMAN
F4ZUX9	F4ZUX9_HUMAN
F4ZUY5	F4ZUY5_HUMAN
F4ZV79	F4ZV79_HUMAN
P08183	MDR1_HUMAN
Q6TBL4	Q6TBL4_HUMAN
M0R109	M0R109_HUMAN
M0R2K4	M0R2K4_HUMAN
P13688	CEAM1_HUMAN
Q3KRG8	Q3KRG8_HUMAN
Q13753	LAMC2_HUMAN
A0A0C4DGB7	A0A0C4DGB7_HUMAN
D6RD96	D6RD96_HUMAN
D6RDA8	D6RDA8_HUMAN
D6RF95	D6RF95_HUMAN
D6RFW9	D6RFW9_HUMAN
H0Y9A0	H0Y9A0_HUMAN
O60488	ACSL4_HUMAN
A0A0A0MSE2	A0A0A0MSE2_HUMAN
E9PF18	E9PF18_HUMAN
J3KR89	J3KR89_HUMAN
P40939	ECHA_HUMAN
Q16836	HCDH_HUMAN
A0A024R528	A0A024R528_HUMAN
P18510	IL1RA_HUMAN
A0A087X227	A0A087X227_HUMAN
H3BP26	H3BP26_HUMAN
H3BPQ2	H3BPQ2_HUMAN
H3BQB5	H3BQB5_HUMAN
H3BQH2	H3BQH2_HUMAN
H3BR78	H3BR78_HUMAN
H3BSM4	H3BSM4_HUMAN
H3BUU9	H3BUU9_HUMAN
P55287	CAD11_HUMAN
Q96CZ9	Q96CZ9_HUMAN
E7EQJ3	E7EQJ3_HUMAN
E7ER71	E7ER71_HUMAN
E7ESL3	E7ESL3_HUMAN
H0YBZ2	H0YBZ2_HUMAN
H0YBZ8	H0YBZ8_HUMAN
P04233	HG2A_HUMAN
A0A024R945	A0A024R945_HUMAN
Q08116	RGS1_HUMAN
C9J276	C9J276_HUMAN
C9J4L5	C9J4L5_HUMAN
C9J896	C9J896_HUMAN
C9JBT4	C9JBT4_HUMAN
C9JCI4	C9JCI4_HUMAN
E7EWP8	E7EWP8_HUMAN
H7C1R5	H7C1R5_HUMAN
H7C3I0	H7C3I0_HUMAN
P16220	CREB1_HUMAN
Q4ZG78	Q4ZG78_HUMAN
Q53RU9	Q53RU9_HUMAN
Q53X93	Q53X93_HUMAN
Q5U0J5	Q5U0J5_HUMAN
E9PJ03	E9PJ03_HUMAN
E9PMG3	E9PMG3_HUMAN
E9PNB0	E9PNB0_HUMAN
E9PR34	E9PR34_HUMAN
H0YCV7	H0YCV7_HUMAN
Q07343	PDE4B_HUMAN
X5DNX5	X5DNX5_HUMAN
X5DPA9	X5DPA9_HUMAN
X5DR82	X5DR82_HUMAN
C9J0E4	C9J0E4_HUMAN
P01040	CYTA_HUMAN
D3DQH8	D3DQH8_HUMAN
E5RJA5	E5RJA5_HUMAN
E5RK62	E5RK62_HUMAN
F5GY03	F5GY03_HUMAN
F5H4E2	F5H4E2_HUMAN
P09486	SPRC_HUMAN
Q6QE20	Q6QE20_HUMAN
A0A024RA58	A0A024RA58_HUMAN
A4FTY0	A4FTY0_HUMAN
A4FVA8	A4FVA8_HUMAN
C9JSR4	C9JSR4_HUMAN
H7BZJ0	H7BZJ0_HUMAN
