interaction_id	a_alias	b_alias	a_id	b_id
651187	complex:2+3nLq4iH+A+kS7qLUW7Vw6+uhs	Q14974	651187	875557
651187	complex:2+3nLq4iH+A+kS7qLUW7Vw6+uhs	Q9Y2M0	651187	1202756
651187	complex:2+3nLq4iH+A+kS7qLUW7Vw6+uhs	P62258	651187	3077030
651187	complex:2+3nLq4iH+A+kS7qLUW7Vw6+uhs	P54277	651187	4416613
651187	complex:2+3nLq4iH+A+kS7qLUW7Vw6+uhs	P40692	651187	4465042
651187	complex:2+3nLq4iH+A+kS7qLUW7Vw6+uhs	P0CG47	651187	4803389
651187	complex:2+3nLq4iH+A+kS7qLUW7Vw6+uhs	P40938	651187	4824072
651187	complex:2+3nLq4iH+A+kS7qLUW7Vw6+uhs	Q16658	651187	4997501
651187	complex:2+3nLq4iH+A+kS7qLUW7Vw6+uhs	P54278	651187	5175554
651187	complex:2+3nLq4iH+A+kS7qLUW7Vw6+uhs	P35249	651187	5218674
652078	P35318	NP_001258680	4814801	10012889
652704	P36871	O43776	2673990	4999284
652714	P36871	P22314	2673990	3636322
652835	Q9UQC2	P07948-2	2876530	4083603
652849	XP_005246873	P20749	1004542	9148179
653222	P22607	Q6PGQ7	656326	3240565
653416	P42224	O75365	1004542	5409001
653449	P36871	Q12788	2673990	4851841
654307	Q15797	P49796	1373290	4842235
654764	O00422	Q14141	1735580	2052564
654777	P17861-2	P18850	717706	3051344
655132	Q6PJI9	Q15067	822220	5287038
655152	E5KN55	Q15067	4605667	5287038
655467	complex:2JwdT+vjqvm5Z5KFjjVTNdGpw58	P06239	655467	1065781
655467	complex:2JwdT+vjqvm5Z5KFjjVTNdGpw58	P11836	655467	1092973
655467	complex:2JwdT+vjqvm5Z5KFjjVTNdGpw58	P06241	655467	2079075
655467	complex:2JwdT+vjqvm5Z5KFjjVTNdGpw58	P07948	655467	4083603
655715	Q99570	P49674	1406752	1795737
656117	P14868	Q92597	5118278	5176863
656163	P32241	B4DJ51	1528293	4264365
656241	P37231-3	O15164	2201336	2541362
656667	P29597	P35568	2218557	3143545
657107	Q99996	O75122	2444766	5300402
657802	NP_006859	Q13368	1085405	4454860
658126	P42224-2	Q7Z7K2	1004542	2861345
658725	P42224	P10721	1004542	1981907
659013	P11310	Q74SR9	3859512	8442403
659732	P01857	Q81R83	5333995	5424308
660312	Q92520	P46359	2202082	4053012
660405	P35568	P42336	3143545	5032355
660510	Q12901	Q92597	2506717	5176863
660541	Q13200	Q92597	4762389	5176863
661252	P25874	P36871	275273	2673990
661979	A8K2I8	Q6AI14	4400282	9650679
663058	XP_005246873	Q13547	1004542	3908752
663307	Q9UET6	Q16658	3157383	4997501
665315	P04155	Q86XP6	1119944	4661731
