Entry	Entry name
X5DPA9	X5DPA9_HUMAN
X5DR82	X5DR82_HUMAN
A0A0U1RQY0	A0A0U1RQY0_HUMAN
A0A0U1RRI4	A0A0U1RRI4_HUMAN
A0A0U1RRK0	A0A0U1RRK0_HUMAN
B0YJ47	B0YJ47_HUMAN
O76041	NEBL_HUMAN
Q2TBD1	Q2TBD1_HUMAN
Q5JUU7	Q5JUU7_HUMAN
Q5JUU8	Q5JUU8_HUMAN
C9JYE9	C9JYE9_HUMAN
E5RHD4	E5RHD4_HUMAN
H0YBK0	H0YBK0_HUMAN
H0YBW8	H0YBW8_HUMAN
Q15329	E2F5_HUMAN
A5GZ69	A5GZ69_HUMAN
L8EC95	L8EC95_HUMAN
P03956	MMP1_HUMAN
Q96DZ4	Q96DZ4_HUMAN
A0A0C4DH53	A0A0C4DH53_HUMAN
A0N7C6	A0N7C6_HUMAN
A0N7C7	A0N7C7_HUMAN
A5PL18	A5PL18_HUMAN
B5B0A5	B5B0A5_HUMAN
C9JCS5	C9JCS5_HUMAN
C9JL16	C9JL16_HUMAN
P41182	BCL6_HUMAN
Q16413	Q16413_HUMAN
B5BUQ8	B5BUQ8_HUMAN
C9JSC2	C9JSC2_HUMAN
C9JVK0	C9JVK0_HUMAN
C9JWV2	C9JWV2_HUMAN
O43645	O43645_HUMAN
P01584	IL1B_HUMAN
O60218	AK1BA_HUMAN
C9J3G8	C9J3G8_HUMAN
E9PH82	E9PH82_HUMAN
I6L9E8	I6L9E8_HUMAN
Q05CT2	Q05CT2_HUMAN
Q8NCA5	FA98A_HUMAN
C9JMN9	C9JMN9_HUMAN
P13667	PDIA4_HUMAN
A0A024R7J9	A0A024R7J9_HUMAN
A0A0A0MR49	A0A0A0MR49_HUMAN
F8VR75	F8VR75_HUMAN
F8VU50	F8VU50_HUMAN
F8VZP1	F8VZP1_HUMAN
Q6QF45	Q6QF45_HUMAN
Q8IV39	Q8IV39_HUMAN
Q9HCS2	CP4FC_HUMAN
A0A140T9Z2	A0A140T9Z2_HUMAN
E5RH36	E5RH36_HUMAN
E5RIX2	E5RIX2_HUMAN
J3KN03	J3KN03_HUMAN
P14902	I23O1_HUMAN
F5GYR5	F5GYR5_HUMAN
F5GYX0	F5GYX0_HUMAN
P11169	GTR3_HUMAN
A2A299	A2A299_HUMAN
A2A2A0	A2A2A0_HUMAN
P21980	TGM2_HUMAN
Q6DKH2	Q6DKH2_HUMAN
Q9BXQ0	Q9BXQ0_HUMAN
A6PYA4	A6PYA4_HUMAN
C7BWB5	C7BWB5_HUMAN
P08842	STS_HUMAN
Q0W975	Q0W975_HUMAN
Q16244	Q16244_HUMAN
B5BU38	B5BU38_HUMAN
P04083	ANXA1_HUMAN
Q05BR2	Q05BR2_HUMAN
Q5T3N0	Q5T3N0_HUMAN
Q5T3N1	Q5T3N1_HUMAN
Q5TZZ9	Q5TZZ9_HUMAN
A0A024R433	A0A024R433_HUMAN
C9JXX4	C9JXX4_HUMAN
P24593	IBP5_HUMAN
Q8WV97	Q8WV97_HUMAN
Q96HT5	Q96HT5_HUMAN
E5RJ37	E5RJ37_HUMAN
P07948	LYN_HUMAN
Q6NUK7	Q6NUK7_HUMAN
C9IZ83	C9IZ83_HUMAN
F2Z3H0	F2Z3H0_HUMAN
F2Z3N9	F2Z3N9_HUMAN
H7C3L7	H7C3L7_HUMAN
Q08AR5	Q08AR5_HUMAN
Q6P5S9	Q6P5S9_HUMAN
Q99543	DNJC2_HUMAN
C9JTT8	C9JTT8_HUMAN
H7C1N3	H7C1N3_HUMAN
O15155	BET1_HUMAN
Q53XK0	Q53XK0_HUMAN
Q68DU7	Q68DU7_HUMAN
A0A0G2JQ62	A0A0G2JQ62_HUMAN
A0A0G2JRI7	A0A0G2JRI7_HUMAN
Q8NF37	PCAT1_HUMAN
B8ZZU9	B8ZZU9_HUMAN
B9A062	B9A062_HUMAN
F8WF06	F8WF06_HUMAN
F8WF89	F8WF89_HUMAN
P13995	MTDC_HUMAN
E9PL83	E9PL83_HUMAN
E9PML4	E9PML4_HUMAN
E9PQE6	E9PQE6_HUMAN
E9PQT2	E9PQT2_HUMAN
P35318	ADML_HUMAN
P13236	CCL4_HUMAN
Q6JSE0	Q6JSE0_HUMAN
Q7M4M2	Q7M4M2_HUMAN
D3DQX7	D3DQX7_HUMAN
E9PQD6	E9PQD6_HUMAN
P0DJI8	SAA1_HUMAN
A8K878	A8K878_HUMAN
H7C2D6	H7C2D6_HUMAN
P55145	MANF_HUMAN
A0A024R2M6	A0A024R2M6_HUMAN
B4DVF4	B4DVF4_HUMAN
C9JDE9	C9JDE9_HUMAN
F2Z2Q6	F2Z2Q6_HUMAN
F2Z3P7	F2Z3P7_HUMAN
H0Y4D4	H0Y4D4_HUMAN
H7C131	H7C131_HUMAN
P09110	THIK_HUMAN
B1AH48	B1AH48_HUMAN
Q16762	THTR_HUMAN
A0A0A0MS66	A0A0A0MS66_HUMAN
C9IYP2	C9IYP2_HUMAN
C9J278	C9J278_HUMAN
H7C3T1	H7C3T1_HUMAN
Q14693	LPIN1_HUMAN
A0A0C4DGL4	A0A0C4DGL4_HUMAN
Q01650	LAT1_HUMAN
Q2MCL6	Q2MCL6_HUMAN
A0A087WTY5	A0A087WTY5_HUMAN
A5PKV2	A5PKV2_HUMAN
F5H5K0	F5H5K0_HUMAN
P02462	CO4A1_HUMAN
Q14051	Q14051_HUMAN
P05109	S10A8_HUMAN
C9J4T6	C9J4T6_HUMAN
P10145	IL8_HUMAN
B0QY70	B0QY70_HUMAN
B0QY71	B0QY71_HUMAN
Q9ULX9	MAFF_HUMAN
L8E844	L8E844_HUMAN
Q86X52	CHSS1_HUMAN
A0A024R8L7	A0A024R8L7_HUMAN
A0A024R8T3	A0A024R8T3_HUMAN
I3L0T4	I3L0T4_HUMAN
I3L2U4	I3L2U4_HUMAN
I3L4S5	I3L4S5_HUMAN
K7ELT1	K7ELT1_HUMAN
K7ENF1	K7ENF1_HUMAN
K7ESC7	K7ESC7_HUMAN
Q15067	ACOX1_HUMAN
B0QY07	B0QY07_HUMAN
L0R5A1	L0R5A1_HUMAN
L8EC56	L8EC56_HUMAN
P32927	IL3RB_HUMAN
Q6NSJ8	Q6NSJ8_HUMAN
A0A0H3W617	A0A0H3W617_HUMAN
A0A0H3W641	A0A0H3W641_HUMAN
P52823	STC1_HUMAN
H0Y789	H0Y789_HUMAN
P01033	TIMP1_HUMAN
Q58P21	Q58P21_HUMAN
Q5H9A7	Q5H9A7_HUMAN
Q5H9B4	Q5H9B4_HUMAN
Q5H9B5	Q5H9B5_HUMAN
Q6FGX5	Q6FGX5_HUMAN
A0A0C4DFS8	A0A0C4DFS8_HUMAN
C9JF35	C9JF35_HUMAN
C9JG65	C9JG65_HUMAN
P43490	NAMPT_HUMAN
A0A024RD39	A0A024RD39_HUMAN
Q13093	PAFA_HUMAN
A0A024R499	A0A024R499_HUMAN
P35568	IRS1_HUMAN
W0KMC7	W0KMC7_HUMAN
W0KR29	W0KR29_HUMAN
W0KRH6	W0KRH6_HUMAN
A1A584	A1A584_HUMAN
H0YKI8	H0YKI8_HUMAN
H0YKR7	H0YKR7_HUMAN
H0YKY9	H0YKY9_HUMAN
H0YL88	H0YL88_HUMAN
H0YLC0	H0YLC0_HUMAN
H0YM45	H0YM45_HUMAN
Q03169	TNAP2_HUMAN
P49019	HCAR3_HUMAN
A0A024RCG7	A0A024RCG7_HUMAN
A0A0B4J1X4	A0A0B4J1X4_HUMAN
A0A1B0GXK8	A0A1B0GXK8_HUMAN
Q5H9D7	Q5H9D7_HUMAN
Q5H9D8	Q5H9D8_HUMAN
Q5H9E0	Q5H9E0_HUMAN
Q5H9E1	Q5H9E1_HUMAN
Q7L311	ARMX2_HUMAN
A0A0C4DGB7	A0A0C4DGB7_HUMAN
D6RD96	D6RD96_HUMAN
D6RDA8	D6RDA8_HUMAN
D6RF95	D6RF95_HUMAN
D6RFW9	D6RFW9_HUMAN
H0Y9A0	H0Y9A0_HUMAN
O60488	ACSL4_HUMAN
H0Y3C5	H0Y3C5_HUMAN
H7BXG4	H7BXG4_HUMAN
H7C5P9	H7C5P9_HUMAN
J3KPD6	J3KPD6_HUMAN
P08631	HCK_HUMAN
C9J1J7	C9J1J7_HUMAN
C9J2F9	C9J2F9_HUMAN
C9JG19	C9JG19_HUMAN
C9JW47	C9JW47_HUMAN
P25025	CXCR2_HUMAN
Q6LCZ7	Q6LCZ7_HUMAN
A0A024RBH2	A0A024RBH2_HUMAN
F8VVU0	F8VVU0_HUMAN
Q07065	CKAP4_HUMAN
Q6NWZ1	Q6NWZ1_HUMAN
A0A024R1R0	A0A024R1R0_HUMAN
O43731	ERD23_HUMAN
A0A0S2Z3P7	A0A0S2Z3P7_HUMAN
A0A0S2Z488	A0A0S2Z488_HUMAN
C9JGI3	C9JGI3_HUMAN
E5KRG5	E5KRG5_HUMAN
P19971	TYPH_HUMAN
A0A024R642	A0A024R642_HUMAN
P30793	GCH1_HUMAN
Q99592	ZBT18_HUMAN
A0A024RDB9	A0A024RDB9_HUMAN
A0A024RDG4	A0A024RDG4_HUMAN
E7ER42	E7ER42_HUMAN
E7ESB3	E7ESB3_HUMAN
E7EX61	E7EX61_HUMAN
E9PGR5	E9PGR5_HUMAN
Q13508	NAR3_HUMAN
Q5J1K9	Q5J1K9_HUMAN
Q5J1P8	Q5J1P8_HUMAN
Q5J1Q0	Q5J1Q0_HUMAN
P98066	TSG6_HUMAN
A0A0U3J4I2	A0A0U3J4I2_HUMAN
A5GZ70	A5GZ70_HUMAN
E9PKX2	E9PKX2_HUMAN
H7C139	H7C139_HUMAN
P08254	MMP3_HUMAN
A0A172WBW8	A0A172WBW8_HUMAN
B1AP13	B1AP13_HUMAN
B1AP15	B1AP15_HUMAN
D3DT85	D3DT85_HUMAN
D3DT86	D3DT86_HUMAN
H3BLV0	H3BLV0_HUMAN
H7BY55	H7BY55_HUMAN
P08174	DAF_HUMAN
J3KRT7	J3KRT7_HUMAN
P13500	CCL2_HUMAN
A0A024RAV2	A0A024RAV2_HUMAN
F5GYB7	F5GYB7_HUMAN
F5H2L2	F5H2L2_HUMAN
F5H3W0	F5H3W0_HUMAN
F5H4P4	F5H4P4_HUMAN
F8WA66	F8WA66_HUMAN
F8WD97	F8WD97_HUMAN
P46063	RECQ1_HUMAN
E7ESS4	E7ESS4_HUMAN
K7EKL8	K7EKL8_HUMAN
P05362	ICAM1_HUMAN
Q14601	Q14601_HUMAN
Q5NKV8	Q5NKV8_HUMAN
E9PK56	E9PK56_HUMAN
H0YE86	H0YE86_HUMAN
Q99062	CSF3R_HUMAN
P06702	S10A9_HUMAN
P27469	G0S2_HUMAN
F5GXJ9	F5GXJ9_HUMAN
H7C543	H7C543_HUMAN
Q13740	CD166_HUMAN
Q92988	DLX4_HUMAN
B4DHQ7	B4DHQ7_HUMAN
F5H3A2	F5H3A2_HUMAN
F8VUW4	F8VUW4_HUMAN
F8W095	F8W095_HUMAN
F8W1K6	F8W1K6_HUMAN
O60486	PLXC1_HUMAN
D6RH07	D6RH07_HUMAN
E7ETC6	E7ETC6_HUMAN
H0Y8Q3	H0Y8Q3_HUMAN
H0YA72	H0YA72_HUMAN
Q86YL7	PDPN_HUMAN
E9PB90	E9PB90_HUMAN
P52789	HXK2_HUMAN
Q53QX9	Q53QX9_HUMAN
Q53SG7	Q53SG7_HUMAN
L8ECN3	L8ECN3_HUMAN
Q5VWX1	KHDR2_HUMAN
A0A087WU80	A0A087WU80_HUMAN
A0A087WVN3	A0A087WVN3_HUMAN
A0A087WXL5	A0A087WXL5_HUMAN
A0A087X1N1	A0A087X1N1_HUMAN
D3TTY4	D3TTY4_HUMAN
D3TTY5	D3TTY5_HUMAN
D3TTY6	D3TTY6_HUMAN
D3TTY7	D3TTY7_HUMAN
D3TTY8	D3TTY8_HUMAN
D3TTY9	D3TTY9_HUMAN
D3TTZ0	D3TTZ0_HUMAN
D3TTZ1	D3TTZ1_HUMAN
D3TTZ2	D3TTZ2_HUMAN
D3TTZ3	D3TTZ3_HUMAN
D3TTZ4	D3TTZ4_HUMAN
D3TTZ5	D3TTZ5_HUMAN
D3TTZ6	D3TTZ6_HUMAN
D3TTZ7	D3TTZ7_HUMAN
D3TTZ8	D3TTZ8_HUMAN
F8K9X7	F8K9X7_HUMAN
P21580	TNAP3_HUMAN
Q5VXQ8	Q5VXQ8_HUMAN
Q5VXQ9	Q5VXQ9_HUMAN
Q5VXR0	Q5VXR0_HUMAN
A0A024R7D5	A0A024R7D5_HUMAN
A0A0E3KII0	A0A0E3KII0_HUMAN
A0A0E3MS57	A0A0E3MS57_HUMAN
A2SZX1	A2SZX1_HUMAN
E1B4S5	E1B4S5_HUMAN
E1B4T0	E1B4T0_HUMAN
E2J5K4	E2J5K4_HUMAN
H0YM92	H0YM92_HUMAN
H0YMD1	H0YMD1_HUMAN
